ID,FPS,LOOPTYPE
BP3,10,0

TEXTUREID,LEFT,TOP,WIDTH,HEIGHT,DisX,DisY
graphics/BindPlayerEffect/13.png,0,0,0,0,-768,-773,
graphics/BindPlayerEffect/13.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/13.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/13.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/13.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/13.png,988,151,101,99,-45,-56,
graphics/BindPlayerEffect/13.png,651,664,248,222,-120,-115,
graphics/BindPlayerEffect/13.png,324,2,337,323,-165,-169,
graphics/BindPlayerEffect/13.png,3,331,325,318,-157,-170,
graphics/BindPlayerEffect/13.png,335,334,321,319,-154,-167,
graphics/BindPlayerEffect/13.png,659,3,325,322,-157,-171,
graphics/BindPlayerEffect/13.png,654,328,335,325,-161,-171,
graphics/BindPlayerEffect/13.png,1,659,328,324,-159,-167,
graphics/BindPlayerEffect/13.png,337,667,319,311,-151,-159,
graphics/BindPlayerEffect/13.png,324,2,337,323,-165,-170,
graphics/BindPlayerEffect/13.png,3,331,325,318,-157,-170,
graphics/BindPlayerEffect/13.png,335,334,321,319,-154,-167,
graphics/BindPlayerEffect/13.png,659,3,325,322,-157,-171,
graphics/BindPlayerEffect/13.png,654,328,335,325,-161,-171,
graphics/BindPlayerEffect/13.png,1,659,328,324,-159,-167,
graphics/BindPlayerEffect/13.png,337,667,319,311,-151,-159,
graphics/BindPlayerEffect/13.png,324,2,337,323,-165,-170,
graphics/BindPlayerEffect/13.png,3,331,325,318,-157,-170,
graphics/BindPlayerEffect/13.png,335,334,321,319,-154,-167,
graphics/BindPlayerEffect/13.png,659,3,325,322,-157,-171,
graphics/BindPlayerEffect/13.png,654,328,335,325,-161,-171,
graphics/BindPlayerEffect/13.png,1,659,328,324,-159,-167,
graphics/BindPlayerEffect/13.png,337,667,319,311,-151,-159,
graphics/BindPlayerEffect/13.png,324,2,337,323,-165,-170,
graphics/BindPlayerEffect/13.png,3,331,325,318,-157,-170,
graphics/BindPlayerEffect/13.png,335,334,321,319,-154,-167,
graphics/BindPlayerEffect/13.png,659,3,325,322,-157,-171,
graphics/BindPlayerEffect/13.png,654,328,335,325,-161,-171,
graphics/BindPlayerEffect/13.png,1,659,328,324,-159,-167,
graphics/BindPlayerEffect/13.png,337,667,319,311,-151,-159,
graphics/BindPlayerEffect/13.png,324,2,337,323,-165,-170,
graphics/BindPlayerEffect/13.png,3,331,325,318,-157,-170,
graphics/BindPlayerEffect/13.png,335,334,321,319,-154,-167,
graphics/BindPlayerEffect/13.png,659,3,325,322,-157,-171,
graphics/BindPlayerEffect/13.png,654,328,335,325,-161,-171,
graphics/BindPlayerEffect/13.png,1,659,328,324,-159,-167,
graphics/BindPlayerEffect/13.png,337,667,319,311,-151,-159,
graphics/BindPlayerEffect/13.png,324,2,337,323,-165,-170,
graphics/BindPlayerEffect/13.png,0,0,0,0,0,0,
