ID,FPS,LOOPTYPE
BP3,12,0

TEXTUREID,LEFT,TOP,WIDTH,HEIGHT,DisX,DisY
graphics/BindPlayerEffect/3.png,0,0,0,0,0,0.5,
graphics/BindPlayerEffect/3.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/3.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/3.png,1067,605,14,17,-5,-11,
graphics/BindPlayerEffect/3.png,763,619,39,38,-17,-23,
graphics/BindPlayerEffect/3.png,816,677,76,55,-39,-31,
graphics/BindPlayerEffect/3.png,818,567,116,101,-59,-59,
graphics/BindPlayerEffect/3.png,208,741,207,186,-102,-93,
graphics/BindPlayerEffect/3.png,0,398,360,343,-181,-173,
graphics/BindPlayerEffect/3.png,0,0,415,398,-203,-200,
graphics/BindPlayerEffect/3.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/3.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/3.png,0,0,0,0,0,0,
