ID,FPS,LOOPTYPE
BP2,10,0

TEXTUREID,LEFT,TOP,WIDTH,HEIGHT,DisX,DisY
graphics/BindPlayerEffect/4.png,0,0,0,0,-32,-276,
graphics/BindPlayerEffect/4.png,0,0,0,0,0,0.5,
graphics/BindPlayerEffect/4.png,0,0,0,0,0,0.5,
graphics/BindPlayerEffect/4.png,8,269,47,23,-22,-7.5,
graphics/BindPlayerEffect/4.png,4,165,66,37,-33,-18.5,
graphics/BindPlayerEffect/4.png,99,89,85,55,-43,-30.5,
graphics/BindPlayerEffect/4.png,7,88,91,66,-43,-45.5,
graphics/BindPlayerEffect/4.png,113,7,99,67,-42,-45.5,
graphics/BindPlayerEffect/4.png,8,6,96,71,-49,-50.5,
graphics/BindPlayerEffect/4.png,0,0,0,0,0,1,
graphics/BindPlayerEffect/4.png,178,209,52,36,-23.5,-18.5,
graphics/BindPlayerEffect/4.png,217,166,48,21,-22,-5.5,
graphics/BindPlayerEffect/4.png,145,165,60,23,-30,-7.5,
graphics/BindPlayerEffect/4.png,78,167,64,23,-34,-4,
graphics/BindPlayerEffect/4.png,0,0,0,0,-207.5,-141,
