ID,FPS,LOOPTYPE
BP1,10,0

TEXTUREID,LEFT,TOP,WIDTH,HEIGHT,DisX,DisY
graphics/BindPlayerEffect/9.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/9.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/9.png,98,8,73,36,-32.5,-29.5,
graphics/BindPlayerEffect/9.png,57,75,49,27,-5.5,-17.5,
graphics/BindPlayerEffect/9.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/9.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/9.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/9.png,6,83,41,55,3.5,-41,
graphics/BindPlayerEffect/9.png,180,5,23,40,16,-19.5,
graphics/BindPlayerEffect/9.png,0,0,0,0,0,0,
