ID,FPS,LOOPTYPE
BP3,10,0

TEXTUREID,LEFT,TOP,WIDTH,HEIGHT,DisX,DisY
graphics/BindPlayerEffect/1.png,0,0,0,0,-562,-313,
graphics/BindPlayerEffect/1.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/1.png,486,482,40,68,-20,-31,
graphics/BindPlayerEffect/1.png,484,389,66,83,-34,-29.5,
graphics/BindPlayerEffect/1.png,311,388,165,181,-81,-79.5,
graphics/BindPlayerEffect/1.png,709,389,27,28,-23,-37.5,
graphics/BindPlayerEffect/1.png,0,391,305,300,-148.5,-141,
graphics/BindPlayerEffect/1.png,0,0,378,378,-183.5,-197,
graphics/BindPlayerEffect/1.png,374,0,374,373,-177,-188,
graphics/BindPlayerEffect/1.png,556,382,103,48,-51,-18,
graphics/BindPlayerEffect/1.png,0,0,0,0,-1,0.5,
