ID,FPS,LOOPTYPE
BP2,13,0

TEXTUREID,LEFT,TOP,WIDTH,HEIGHT,DisX,DisY
graphics/BindPlayerEffect/7.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/7.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/7.png,0,0,0,0,0,0,
graphics/BindPlayerEffect/7.png,181,57,76,35,-34,-24,
graphics/BindPlayerEffect/7.png,6,5,81,63,-14,-40,
graphics/BindPlayerEffect/7.png,7,79,86,56,-39,-37,
graphics/BindPlayerEffect/7.png,180,0,87,43,-33,-16,
graphics/BindPlayerEffect/7.png,6,5,81,63,-14,-40,
graphics/BindPlayerEffect/7.png,7,79,86,56,-39,-37,
graphics/BindPlayerEffect/7.png,0,0,0,0,0,0,
