ID,FPS,LOOPTYPE,,
SkillEffect,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/priestAttack.png,0,82,37,29
graphics/CustomSprite/priestAttack.png,0,176,37,35
graphics/CustomSprite/priestAttack.png,0,249,37,39
graphics/CustomSprite/priestAttack.png,0,211,37,38
graphics/CustomSprite/priestAttack.png,0,111,37,31
graphics/CustomSprite/priestAttack.png,0,142,36,34
graphics/CustomSprite/priestAttack.png,0,0,37,10
graphics/CustomSprite/priestAttack.png,0,20,37,13
graphics/CustomSprite/priestAttack.png,0,65,37,17
graphics/CustomSprite/priestAttack.png,0,33,38,16
graphics/CustomSprite/priestAttack.png,0,49,38,16
graphics/CustomSprite/priestAttack.png,0,10,37,10
