RESOURCE_TYPES 0.TEX 1.FONT 2.SOUND 3.ANI,RESOURCE_PATH
0,graphics/Origin/Sprite/house_bg.png
0,graphics/Origin/Sprite/house_lv2_bg.png
0,graphics/Origin/Sprite/house_lv3_bg.png
0,graphics/Origin/Sprite/house_lv4_bg.png
0,graphics/Origin/Sprite/sky_day.png
0,graphics/Origin/Sprite/sky_night.png
0,graphics/Origin/Sprite/sky_sunset.png
0,graphics/Origin/Sprite/ground.png
0,graphics/Origin/Sprite/main_menu_button_0.png
0,graphics/Origin/Sprite/main_menu_button_1.png
0,graphics/Origin/Sprite/main_menu_button_2.png
0,graphics/Origin/Sprite/header_league_bg.png
0,graphics/Origin/Sprite/league_icon_0.png
0,graphics/Origin/Sprite/league_icon_1.png
0,graphics/Origin/Sprite/league_icon_2.png
0,graphics/Origin/Sprite/league_icon_3.png
0,graphics/Origin/Sprite/league_icon_4.png
0,graphics/Origin/Sprite/league_icon_5.png
0,graphics/Origin/Sprite/main_button_icon_0.png
0,graphics/Origin/Sprite/main_button_icon_1.png
0,graphics/Origin/Sprite/main_button_icon_2.png
0,graphics/Origin/Sprite/main_button_icon_3.png
0,graphics/Origin/Sprite/main_button_icon_4.png
0,graphics/Origin/Sprite/main_button_icon_5.png
0,graphics/Origin/Sprite/proceed_button_0.png
0,graphics/Origin/Sprite/proceed_button_1.png
0,graphics/Origin/Sprite/proceed_button_2.png
0,graphics/Origin/Sprite/proceed_button_3.png
0,graphics/Origin/Sprite/clouds_0.png
0,graphics/Origin/Sprite/clouds_1.png
0,graphics/Origin/Sprite/clouds_2.png
0,graphics/Origin/Sprite/clouds_3.png
0,graphics/Origin/Sprite/clouds_4.png
0,graphics/Origin/Sprite/clouds_5.png
0,graphics/Origin/Sprite/clouds_6.png
0,graphics/Origin/Sprite/clouds_7.png
0,graphics/Origin/Sprite/clouds_8.png
0,graphics/Origin/Sprite/clouds_9.png
0,graphics/Origin/Sprite/clouds_10.png
0,graphics/Origin/Sprite/clouds_11.png
0,graphics/Origin/Sprite/clouds_12.png
0,graphics/Origin/Sprite/clouds_13.png
0,graphics/Origin/Sprite/clouds_14.png
0,graphics/Origin/Sprite/clouds_15.png
0,graphics/Origin/Sprite/clouds_16.png
0,graphics/Origin/Sprite/clouds_17.png
0,graphics/Origin/Sprite/clouds_18.png
0,graphics/Origin/Sprite/clouds_19.png
0,graphics/Origin/Sprite/clouds_20.png
0,graphics/Origin/Sprite/clouds_21.png
0,graphics/Origin/Sprite/clouds_22.png
0,graphics/Origin/Sprite/clouds_23.png
