ID,FPS,LOOPTYPE,,
UltiSkill,10,0,,
,,,,
TEXTUREID,LEFT,TOP,WIDTH,HEIGHT
graphics/CustomSprite/monk_64pix.png,64,384,64,64
graphics/CustomSprite/monk_64pix.png,128,384,64,64
graphics/CustomSprite/monk_64pix.png,192,384,64,64
graphics/CustomSprite/monk_64pix.png,256,384,64,64
graphics/CustomSprite/monk_64pix.png,320,384,64,64
graphics/CustomSprite/monk_64pix.png,384,384,64,64
graphics/CustomSprite/monk_64pix.png,0,448,64,64
graphics/CustomSprite/monk_64pix.png,64,448,64,64
graphics/CustomSprite/monk_64pix.png,128,448,64,64
graphics/CustomSprite/monk_64pix.png,192,448,64,64
graphics/CustomSprite/monk_64pix.png,256,448,64,64
graphics/CustomSprite/monk_64pix.png,320,448,64,64
